Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03 00:00:00,2.5850000381469727,2.669642925262451,2.580357074737549,2.669642925262451,2.2570559978485107,807234400.0
2006-01-03 00:01:00,2.585068242251873,2.669673430919647,2.5804128780961038,2.669648381570975,2.257060611579153,807104100.8333334
2006-01-03 00:02:00,2.585136446356773,2.6697039365768434,2.5804686814546587,2.669653837879499,2.2570652253097956,806973801.6666666
2006-01-03 00:03:00,2.585204650461674,2.669734442234039,2.580524484813213,2.6696592941880226,2.2570698390404385,806843502.5
2006-01-03 00:04:00,2.585272854566574,2.6697649478912355,2.580580288171768,2.6696647504965463,2.257074452771081,806713203.3333334
2006-01-03 00:05:00,2.5853410586714745,2.6697954535484314,2.580636091530323,2.6696702068050704,2.2570790665017233,806582904.1666666
2006-01-03 00:06:00,2.5854092627763747,2.6698259592056273,2.580691894888878,2.669675663113594,2.2570836802323657,806452605.0
2006-01-03 00:07:00,2.585477466881275,2.6698564648628236,2.580747698247433,2.6696811194221177,2.2570882939630086,806322305.8333334
2006-01-03 00:08:00,2.5855456709861757,2.6698869705200194,2.5808035016059874,2.669686575730642,2.257092907693651,806192006.6666666
2006-01-03 00:09:00,2.585613875091076,2.6699174761772158,2.5808593049645423,2.6696920320391655,2.2570975214242934,806061707.5
2006-01-03 00:10:00,2.5856820791959763,2.6699479818344116,2.5809151083230972,2.669697488347689,2.257102135154936,805931408.3333334
2006-01-03 00:11:00,2.5857502833008765,2.6699784874916075,2.580970911681652,2.6697029446562133,2.2571067488855787,805801109.1666666
2006-01-03 00:12:00,2.585818487405777,2.670008993148804,2.581026715040207,2.669708400964737,2.257111362616221,805670810.0
2006-01-03 00:13:00,2.5858866915106775,2.6700394988059997,2.5810825183987616,2.6697138572732606,2.2571159763468636,805540510.8333334
2006-01-03 00:14:00,2.585954895615578,2.670070004463196,2.5811383217573165,2.6697193135817847,2.257120590077506,805410211.6666666
2006-01-03 00:15:00,2.586023099720478,2.670100510120392,2.5811941251158714,2.6697247698903084,2.257125203808149,805279912.5
2006-01-03 00:16:00,2.5860913038253783,2.6701310157775877,2.5812499284744264,2.669730226198832,2.2571298175387913,805149613.3333334
2006-01-03 00:17:00,2.5861595079302786,2.670161521434784,2.5813057318329813,2.669735682507356,2.2571344312694337,805019314.1666666
2006-01-03 00:18:00,2.5862277120351793,2.67019202709198,2.5813615351915358,2.66974113881588,2.257139045000076,804889015.0
2006-01-03 00:19:00,2.5862959161400796,2.670222532749176,2.5814173385500907,2.6697465951244035,2.257143658730719,804758715.8333334
2006-01-03 00:20:00,2.58636412024498,2.670253038406372,2.5814731419086456,2.6697520514329276,2.2571482724613614,804628416.6666666
2006-01-03 00:21:00,2.58643232434988,2.670283544063568,2.5815289452672006,2.6697575077414513,2.257152886192004,804498117.5
